ID	mol_weight[kDa]
Solyc00g500169.1.1	43.771
Solyc00g500170.1.1	17.343
Solyc00g013170.1.1	8.138
Solyc00g013180.1.1	18.784
Solyc00g500171.1.1	18.858
Solyc00g500172.1.1	21.205
Solyc00g320430.1.1	6.159
Solyc00g500173.1.1	22.359
Solyc00g019750.1.1	7.758
Solyc00g019730.1.1	16.068
Solyc00g500174.1.1	20.505
Solyc00g500175.1.1	39.193
Solyc00g500176.1.1	56.539
Solyc00g500177.1.1	7.697
Solyc00g500178.1.1	35.625
Solyc00g500179.1.1	34.116
Solyc00g500180.1.1	13.473
Solyc00g500181.1.1	74.207
Solyc00g500182.1.1	36.863
Solyc00g118680.2.1	4.654
Solyc00g118690.1.1	9.052
Solyc00g023600.1.1	9.982
Solyc00g023590.2.1	24.554
Solyc00g023580.1.1	9.824
Solyc00g023570.1.1	11.958
Solyc00g014860.1.1	8.969
Solyc00g014850.1.1	11.853
Solyc00g500183.1.1	11.223
Solyc00g500184.1.1	38.279
Solyc00g500185.1.1	29.762
Solyc00g014810.1.1	6.361
Solyc00g014800.1.1	18.548
Solyc00g014790.2.1	12.316
Solyc00g094550.1.1	8.812
Solyc00g094540.1.1	12.760
Solyc00g094530.1.1	13.824
Solyc00g094520.1.1	6.798
Solyc00g023700.2.1	13.292
Solyc00g023710.1.1	26.458
Solyc00g049210.1.1	66.484
Solyc00g049220.1.1	7.116
Solyc00g500186.1.1	54.430
Solyc00g500187.1.1	32.620
Solyc00g500188.1.1	18.858
Solyc00g500189.1.1	21.205
Solyc00g021660.1.1	8.485
Solyc00g500190.1.1	23.153
Solyc00g500191.1.1	53.478
Solyc00g500192.1.1	45.604
Solyc00g500193.1.1	39.250
Solyc00g500194.1.1	8.382
Solyc00g500195.1.1	53.143
Solyc00g500196.1.1	48.275
Solyc00g500197.1.1	8.532
Solyc00g500198.1.1	257.577
Solyc00g500199.1.1	19.526
Solyc00g500200.1.1	38.950
Solyc00g500201.1.1	52.908
Solyc00g500202.1.1	11.006
Solyc00g500203.1.1	55.411
Solyc00g500204.1.1	42.868
Solyc00g500205.1.1	186.574
Solyc00g500206.1.1	85.582
Solyc00g500207.1.1	14.479
Solyc00g500208.1.1	82.409
Solyc00g500209.1.1	72.129
Solyc00g500210.1.1	15.015
Solyc00g500211.1.1	9.449
Solyc00g500212.1.1	23.682
Solyc00g500213.1.1	11.417
Solyc00g500214.1.1	50.934
Solyc00g322630.1.1	11.053
Solyc00g500215.1.1	11.796
Solyc00g500216.1.1	50.905
Solyc00g500217.1.1	18.707
Solyc00g500218.1.1	64.618
Solyc00g266110.1.1	11.063
Solyc00g254910.1.1	29.107
Solyc00g500219.1.1	31.661
Solyc00g500220.1.1	19.648
Solyc00g500221.1.1	18.608
Solyc00g500222.1.1	17.334
Solyc00g198360.1.1	25.723
Solyc00g500223.1.1	19.557
Solyc00g036520.1.1	20.631
Solyc00g052540.1.1	12.046
Solyc00g052530.2.1	6.104
Solyc00g500224.1.1	67.155
Solyc00g047180.1.1	9.431
Solyc00g047190.1.1	11.963
Solyc00g047200.1.1	8.641
Solyc00g500225.1.1	11.478
Solyc00g500226.1.1	46.027
Solyc00g500227.1.1	70.767
Solyc00g500228.1.1	36.953
Solyc00g500229.1.1	5.480
Solyc00g500230.1.1	13.975
Solyc00g500231.1.1	12.853
Solyc00g500232.1.1	10.511
Solyc00g500233.1.1	10.371
Solyc00g500234.1.1	21.451
Solyc00g500235.1.1	18.182
Solyc00g500236.1.1	82.922
Solyc00g500237.1.1	23.256
Solyc00g230070.1.1	9.792
Solyc00g230060.1.1	32.404
Solyc00g025300.1.1	5.967
Solyc00g025290.1.1	18.133
Solyc00g500238.1.1	12.834
Solyc00g020040.1.1	23.069
Solyc00g020030.1.1	7.442
Solyc00g020020.2.1	18.410
Solyc00g020010.1.1	8.473
Solyc00g020000.1.1	6.307
Solyc00g019990.1.1	7.934
Solyc00g019980.2.1	22.204
Solyc00g019970.2.1	14.052
Solyc00g019950.1.1	21.786
Solyc00g500239.1.1	27.672
Solyc00g500240.1.1	35.939
Solyc00g500241.1.1	67.773
Solyc00g036530.1.1	5.736
Solyc00g500242.1.1	27.812
Solyc00g500243.1.1	51.112
Solyc00g500244.1.1	15.405
Solyc00g500245.1.1	76.900
Solyc00g500246.1.1	25.002
Solyc00g007450.1.1	25.247
Solyc00g016590.1.1	30.054
Solyc00g028960.1.1	11.225
Solyc00g500247.1.1	17.506
Solyc00g500248.1.1	14.509
Solyc00g500249.1.1	68.430
Solyc00g500250.1.1	54.430
Solyc00g500251.1.1	32.620
Solyc00g500252.1.1	18.858
Solyc00g500253.1.1	21.205
Solyc00g021650.1.1	8.739
Solyc00g021640.2.1	47.727
Solyc00g021630.1.1	24.868
Solyc00g500254.1.1	14.467
Solyc00g181240.1.1	6.469
Solyc00g181250.2.1	16.203
Solyc00g500255.1.1	17.900
Solyc00g500256.1.1	31.714
Solyc00g500257.1.1	35.518
Solyc00g500258.1.1	14.963
Solyc00g500259.1.1	37.618
Solyc00g500260.1.1	103.598
Solyc00g500261.1.1	14.671
Solyc00g500262.1.1	46.027
Solyc00g500263.1.1	49.719
Solyc00g500264.1.1	6.645
Solyc00g500265.1.1	12.839
Solyc00g500266.1.1	10.408
Solyc00g500267.1.1	15.927
Solyc00g500268.1.1	28.655
Solyc00g500269.1.1	39.283
Solyc00g500270.1.1	12.806
Solyc00g500271.1.1	39.216
Solyc00g500272.1.1	19.131
Solyc00g500273.1.1	11.687
Solyc00g500274.1.1	67.856
Solyc00g500275.1.1	15.405
Solyc00g500276.1.1	24.563
Solyc00g500277.1.1	27.812
Solyc00g052430.2.1	41.441
Solyc00g500278.1.1	71.994
Solyc00g500279.1.1	13.290
Solyc00g500280.1.1	37.100
Solyc00g500281.1.1	12.109
Solyc00g500282.1.1	15.720
Solyc00g500283.1.1	28.332
Solyc00g500284.1.1	26.167
Solyc00g500285.1.1	19.145
Solyc00g500286.1.1	29.107
Solyc00g500287.1.1	18.776
Solyc00g500288.1.1	11.908
Solyc00g500289.1.1	7.288
Solyc00g500290.1.1	151.521
Solyc00g500291.1.1	42.868
Solyc00g500292.1.1	55.411
Solyc00g500293.1.1	13.224
Solyc00g500294.1.1	48.455
Solyc00g500295.1.1	52.908
Solyc00g500296.1.1	38.950
Solyc00g500297.1.1	15.116
Solyc00g500298.1.1	14.991
Solyc00g500299.1.1	33.913
Solyc00g500300.1.1	8.532
Solyc00g500301.1.1	17.942
Solyc00g500302.1.1	22.332
Solyc00g500303.1.1	29.613
Solyc00g500304.1.1	27.803
Solyc00g500305.1.1	6.456
Solyc00g500306.1.1	15.823
Solyc00g500307.1.1	28.016
Solyc00g500308.1.1	14.068
Solyc00g500309.1.1	66.951
Solyc00g500310.1.1	15.306
Solyc00g500311.1.1	31.253
Solyc00g500312.1.1	91.672
Solyc00g500313.1.1	7.204
Solyc00g500314.1.1	27.982
Solyc00g500315.1.1	20.030
Solyc00g500316.1.1	25.125
Solyc00g500317.1.1	39.216
Solyc00g500318.1.1	19.131
Solyc00g012540.1.1	41.697
Solyc00g500319.1.1	163.016
Solyc00g500320.1.1	42.868
Solyc00g500321.1.1	7.611
Solyc00g500322.1.1	19.312
Solyc00g500323.1.1	55.411
Solyc00g500324.1.1	114.043
Solyc00g500325.1.1	17.942
Solyc00g500326.1.1	8.532
Solyc00g500327.1.1	257.577
Solyc00g500328.1.1	15.561
Solyc00g500329.1.1	38.950
Solyc00g500330.1.1	52.908
Solyc00g500331.1.1	11.006
Solyc00g500332.1.1	55.411
Solyc00g500333.1.1	18.863
Solyc00g500334.1.1	7.611
Solyc00g500335.1.1	25.179
Solyc00g500336.1.1	13.718
Solyc00g500337.1.1	14.540
Solyc00g500338.1.1	15.068
Solyc00g500339.1.1	23.898
Solyc00g500340.1.1	12.834
Solyc00g500341.1.1	18.557
Solyc00g500342.1.1	20.139
Solyc00g500343.1.1	15.851
Solyc00g500344.1.1	9.213
Solyc00g500345.1.1	88.192
Solyc00g500346.1.1	32.053
Solyc00g500347.1.1	14.757
Solyc00g500348.1.1	68.430
Solyc00g500349.1.1	54.430
Solyc00g500350.1.1	70.767
Solyc00g500351.1.1	78.590
Solyc00g500352.1.1	18.950
Solyc00g032030.1.1	15.872
Solyc00g500353.1.1	44.586
Solyc00g076250.1.1	11.904
Solyc00g500354.1.1	18.006
Solyc00g500355.1.1	7.151
Solyc00g500356.1.1	42.478
Solyc00g500357.1.1	32.053
Solyc00g500358.1.1	55.448
Solyc00g500359.1.1	15.405
Solyc00g500360.1.1	24.563
Solyc00g500361.1.1	33.441
Solyc00g500362.1.1	44.014
Solyc00g500363.1.1	9.516
Solyc00g500364.1.1	35.939
Solyc00g308530.1.1	6.449
Solyc00g284510.1.1	30.078
Solyc00g500365.1.1	22.257
Solyc00g500366.1.1	13.422
Solyc00g500367.1.1	11.677
Solyc00g500368.1.1	39.841
Solyc00g500369.1.1	17.303
Solyc00g500370.1.1	30.356
Solyc00g500371.1.1	11.387
Solyc00g500372.1.1	32.155
Solyc00g500373.1.1	26.704
Solyc00g500374.1.1	13.190
Solyc00g500375.1.1	27.507
Solyc00g006650.1.1	5.508
Solyc00g500376.1.1	13.724
Solyc00g500377.1.1	31.397
Solyc00g500378.1.1	10.160
Solyc00g500379.1.1	23.830
Solyc00g500380.1.1	7.533
Solyc00g500381.1.1	7.750
Solyc00g500382.1.1	9.123
Solyc00g500383.1.1	8.926
Solyc00g500384.1.1	8.455
Solyc00g500385.1.1	9.350
Solyc00g500386.1.1	9.882
Solyc00g500387.1.1	18.695
Solyc00g500388.1.1	7.658
Solyc00g500389.1.1	8.609
Solyc00g500390.1.1	19.752
Solyc00g500391.1.1	14.725
Solyc00g500392.1.1	17.072
Solyc00g500393.1.1	10.431
Solyc00g500394.1.1	20.415
Solyc00g500395.1.1	7.867
Solyc00g500396.1.1	20.998
Solyc00g500397.1.1	21.557
Solyc00g500398.1.1	20.347
Solyc00g500399.1.1	11.603
Solyc00g500400.1.1	10.012
Solyc00g500401.1.1	8.908
Solyc00g500402.1.1	11.545
Solyc00g500403.1.1	13.262
Solyc00g007920.1.1	13.985
Solyc00g007940.1.1	19.345
Solyc00g007930.1.1	18.707
Solyc00g500404.1.1	10.082
Solyc00g500405.1.1	17.900
Solyc00g500406.1.1	63.593
Solyc00g500407.1.1	8.288
Solyc00g500408.1.1	7.810
Solyc00g500409.1.1	13.295
Solyc01g004000.1.1	17.386
Solyc01g004002.1.1	69.564
Solyc01g004004.1.1	7.987
Solyc01g004006.1.1	11.355
Solyc01g004008.1.1	18.246
Solyc01g005000.3.1	55.180
Solyc01g005010.4.1	30.188
Solyc01g005020.3.1	127.500
Solyc01g005030.4.1	131.135
Solyc01g005040.3.1	19.852
Solyc01g005050.4.1	8.468
Solyc01g005060.3.1	38.602
Solyc01g005070.3.1	45.978
Solyc01g005080.3.1	68.026
Solyc01g005090.3.1	39.652
Solyc01g005100.4.1	46.475
Solyc01g005110.3.1	9.836
Solyc01g005120.3.1	37.994
Solyc01g005130.2.1	27.587
Solyc01g005140.3.1	24.599
Solyc01g005150.3.1	25.622
Solyc01g005160.4.1	54.197
Solyc01g005210.4.1	61.414
Solyc01g005180.1.1	10.630
Solyc01g005220.3.1	66.689
Solyc01g005230.4.1	41.314
Solyc01g005240.4.1	61.926
Solyc01g005250.4.1	44.542
Solyc01g005253.1.1	27.632
Solyc01g005257.1.1	27.827
Solyc01g005280.3.1	27.599
Solyc01g005290.4.1	22.874
Solyc01g005300.4.1	70.180
Solyc01g005310.3.1	69.217
Solyc01g005320.2.1	38.607
Solyc01g005330.3.1	69.407
Solyc01g005340.3.1	57.278
Solyc01g005350.4.1	39.008
Solyc01g005360.4.1	38.214
Solyc01g005370.3.1	19.159
Solyc01g005380.3.1	55.000
Solyc01g005390.3.1	18.487
Solyc01g005400.3.1	22.720
Solyc01g005410.4.1	21.523
Solyc01g005420.2.1	18.347
Solyc01g005430.3.1	50.270
Solyc01g005440.4.1	32.424
Solyc01g005450.3.1	35.109
Solyc01g005460.4.1	14.682
Solyc01g005470.3.1	17.782
Solyc01g005480.3.1	42.136
Solyc01g005490.3.1	48.218
Solyc01g005500.3.1	29.586
Solyc01g005510.3.1	62.873
Solyc01g005520.4.1	24.348
Solyc01g005530.3.1	13.862
Solyc01g005540.4.1	68.106
Solyc01g005550.3.1	48.051
Solyc01g005560.3.1	46.688
Solyc01g005570.4.1	22.918
Solyc01g005580.2.1	22.962
Solyc01g005590.2.1	6.236
Solyc01g005600.4.1	33.725
Solyc01g005610.4.1	41.349
Solyc01g005620.3.1	31.754
Solyc01g005630.3.1	27.062
Solyc01g005640.4.1	33.157
Solyc01g005650.3.1	33.762
Solyc01g005660.3.1	35.061
Solyc01g005670.3.1	33.008
Solyc01g005680.4.1	22.071
Solyc01g005690.3.1	51.620
Solyc01g005700.3.1	85.230
Solyc01g005710.2.1	19.627
Solyc01g005720.3.1	81.863
Solyc01g005730.3.1	92.777
Solyc01g005740.3.1	2.844
Solyc01g005750.1.1	10.261
Solyc01g005760.3.1	96.119
Solyc01g005770.3.1	7.970
Solyc01g150100.1.1	6.698
Solyc01g005780.1.1	85.685
Solyc01g005783.1.1	9.853
Solyc01g005787.1.1	11.385
Solyc01g005790.1.1	50.971
Solyc01g005800.3.1	74.888
Solyc01g005810.3.1	35.472
Solyc01g005820.4.1	29.041
Solyc01g005830.4.1	28.317
Solyc01g005840.3.1	19.393
Solyc01g005850.2.1	34.567
Solyc01g005860.2.1	10.404
Solyc01g005870.3.1	88.470
Solyc01g005880.1.1	40.137
Solyc01g005890.1.1	30.197
Solyc01g005900.2.1	30.801
Solyc01g005910.3.1	28.568
Solyc01g005920.3.1	40.279
Solyc01g005930.3.1	44.479
Solyc01g005940.4.1	44.576
Solyc01g005950.4.1	35.544
Solyc01g005960.3.1	65.709
Solyc01g005970.3.1	49.282
Solyc01g005980.4.1	20.031
Solyc01g005985.1.1	24.718
Solyc01g006000.3.1	57.420
Solyc01g006010.3.1	85.906
Solyc01g006020.4.1	31.530
Solyc01g006040.3.1	63.071
Solyc01g006050.2.1	36.223
Solyc01g006055.1.1	21.482
Solyc01g006080.2.1	30.704
Solyc01g006090.3.1	33.494
Solyc01g006100.4.1	91.172
Solyc01g006110.3.1	45.972
Solyc01g006120.4.1	76.193
Solyc01g006130.4.1	26.383
Solyc01g006140.4.1	63.435
Solyc01g006150.3.1	45.478
Solyc01g006160.3.1	11.351
Solyc01g006170.4.1	34.170
Solyc01g006180.4.1	66.185
Solyc01g006190.3.1	34.798
Solyc01g006200.3.1	5.957
Solyc01g006210.4.1	35.330
Solyc01g006220.3.1	44.002
Solyc01g006230.3.1	57.284
Solyc01g006240.3.1	19.902
Solyc01g006250.2.1	8.570
Solyc01g006260.4.1	16.129
Solyc01g006270.2.1	6.780
Solyc01g006280.3.1	67.326
Solyc01g006290.4.1	44.309
Solyc01g006300.3.1	34.954
Solyc01g006310.3.1	36.215
Solyc01g006320.4.1	22.708
Solyc01g006330.4.1	48.022
Solyc01g006340.3.1	56.868
Solyc01g006350.4.1	128.365
Solyc01g006360.4.1	88.494
Solyc01g006370.3.1	225.283
Solyc01g006380.2.1	50.504
Solyc01g006390.2.1	15.312
Solyc01g006400.4.1	26.886
Solyc01g006410.4.1	18.562
Solyc01g006420.3.1	5.701
Solyc01g006430.3.1	43.801
Solyc01g006440.2.1	66.099
Solyc01g006450.4.1	46.890
Solyc01g006460.3.1	40.591
Solyc01g006480.3.1	25.531
Solyc01g006490.4.1	69.717
Solyc01g006500.4.1	56.660
Solyc01g006510.3.1	38.126
Solyc01g006520.3.1	93.184
Solyc01g006530.1.1	91.513
Solyc01g006540.4.1	83.986
Solyc01g006550.3.1	95.383
Solyc01g006555.1.1	50.535
Solyc01g006580.4.1	36.019
Solyc01g006585.1.1	36.263
Solyc01g006590.3.1	60.864
Solyc01g006600.3.1	160.898
Solyc01g006610.2.1	36.032
Solyc01g006620.3.1	87.624
Solyc01g006630.3.1	39.377
Solyc01g006640.1.1	256.838
Solyc01g006650.2.1	73.805
Solyc01g006660.3.1	72.051
Solyc01g006670.2.1	54.980
Solyc01g006680.4.1	48.815
Solyc01g006690.4.1	73.486
Solyc01g006700.3.1	69.826
Solyc01g006710.4.1	68.340
Solyc01g006720.4.1	79.992
Solyc01g006730.4.1	70.360
Solyc01g006740.4.1	53.860
Solyc01g006750.2.1	7.179
Solyc01g006760.3.1	12.503
Solyc01g006770.2.1	56.928
Solyc01g006780.4.1	8.214
Solyc01g006790.3.1	20.508
Solyc01g006800.4.1	32.205
Solyc01g006810.4.1	30.339
Solyc01g006820.2.1	5.568
Solyc01g006830.3.1	50.431
Solyc01g006840.3.1	67.548
Solyc01g006845.1.1	8.351
Solyc01g006850.1.1	125.372
Solyc01g006860.3.1	31.016
Solyc01g006870.4.1	68.870
Solyc01g006880.4.1	182.418
Solyc01g006890.3.1	85.729
Solyc01g006900.3.1	17.537
Solyc01g006910.4.1	19.812
Solyc01g006920.4.1	95.292
Solyc01g006930.3.1	34.242
Solyc01g006940.4.1	36.681
Solyc01g006950.3.1	34.232
Solyc01g006960.3.1	143.478
Solyc01g006970.4.1	115.501
Solyc01g006980.4.1	38.036
Solyc01g006990.4.1	56.531
Solyc01g007000.4.1	48.271
Solyc01g007010.2.1	45.788
Solyc01g007020.4.1	49.644
Solyc01g007030.3.1	24.915
Solyc01g007040.4.1	20.237
Solyc01g007050.3.1	47.284
Solyc01g007060.3.1	50.001
Solyc01g007070.3.1	76.787
Solyc01g007080.3.1	52.759
Solyc01g007090.1.1	70.252
Solyc01g007100.3.1	87.729
Solyc01g007110.3.1	27.669
Solyc01g007120.3.1	52.447
Solyc01g007130.3.1	105.193
Solyc01g007140.3.1	100.368
Solyc01g007150.3.1	105.847
Solyc01g007160.4.1	41.355
Solyc01g007170.4.1	106.791
Solyc01g007180.3.1	15.927
Solyc01g007190.3.1	30.106
Solyc01g007200.2.1	25.159
Solyc01g007210.3.1	7.330
Solyc01g007220.4.1	27.158
Solyc01g007230.4.1	28.317
Solyc01g007240.3.1	23.215
Solyc01g007250.4.1	38.589
Solyc01g007260.3.1	95.018
Solyc01g007263.1.1	19.083
Solyc01g007267.1.1	77.782
Solyc01g007740.4.1	31.554
Solyc01g007750.3.1	36.039
Solyc01g007760.3.1	52.584
Solyc01g007770.2.1	18.943
Solyc01g007780.4.1	25.806
Solyc01g007790.4.1	38.876
Solyc01g007800.3.1	20.376
Solyc01g007810.1.1	32.944
Solyc01g007830.2.1	12.498
Solyc01g007840.3.1	32.169
Solyc01g007850.2.1	113.603
Solyc01g007860.3.1	16.545
Solyc01g007870.3.1	14.305
Solyc01g007880.4.1	86.458
Solyc01g007890.3.1	40.410
Solyc01g150101.1.1	40.098
Solyc01g007900.4.1	37.415
Solyc01g007910.3.1	34.568
Solyc01g007920.2.1	23.268
Solyc01g007930.4.1	42.418
Solyc01g007940.4.1	52.662
Solyc01g007950.4.1	108.770
Solyc01g007960.3.1	72.164
Solyc01g007970.2.1	71.836
Solyc01g007980.4.1	71.184
Solyc01g007990.4.1	70.707
Solyc01g008000.3.1	24.163
Solyc01g150102.1.1	16.873
Solyc01g008010.3.1	37.779
Solyc01g008020.4.1	47.384
Solyc01g008040.1.1	43.730
Solyc01g008050.4.1	48.434
Solyc01g008060.3.1	33.125
Solyc01g008070.3.1	49.451
Solyc01g008080.3.1	9.621
Solyc01g008090.4.1	9.621
Solyc01g008100.3.1	24.932
Solyc01g008110.4.1	56.913
Solyc01g008120.4.1	189.125
Solyc01g008130.4.1	64.574
Solyc01g008140.4.1	106.875
Solyc01g008150.1.1	4.803
Solyc01g008160.4.1	36.270
Solyc01g008170.3.1	79.142
Solyc01g008180.3.1	58.105
Solyc01g008190.4.1	25.136
Solyc01g008200.3.1	11.597
Solyc01g008220.3.1	22.118
Solyc01g008230.4.1	28.897
Solyc01g008240.4.1	52.607
Solyc01g008250.3.1	20.184
Solyc01g008260.4.1	21.043
Solyc01g008270.3.1	16.354
Solyc01g008280.4.1	43.485
Solyc01g008290.3.1	48.716
Solyc01g008300.2.1	30.600
Solyc01g008310.4.1	68.508
Solyc01g008320.3.1	105.426
Solyc01g008330.4.1	66.242
Solyc01g008340.3.1	28.379
Solyc01g008360.3.1	14.303
Solyc01g008370.3.1	38.560
Solyc01g008400.3.1	7.491
Solyc01g008390.3.1	65.832
Solyc01g008410.3.1	80.747
Solyc01g008420.3.1	56.135
Solyc01g008425.1.1	6.984
Solyc01g008440.3.1	59.987
Solyc01g008450.1.1	32.020
Solyc01g008460.3.1	23.197
Solyc01g008470.3.1	41.177
Solyc01g150103.1.1	12.980
Solyc01g150104.1.1	13.371
Solyc01g008473.1.1	26.229
Solyc01g150105.1.1	33.186
Solyc01g008475.1.1	12.454
